Jon,s,Mechanics (Physics 1),,,,,,,,,
Jon,s,Electricity and Magnetism (Physics 2),,,,,,,,,
Nick,v,mu_0,$\mu_0$,Magnetic Constant (permeability of free space),Electricity and magnetism,"mu,mu0,m,m0","Henry,meter",$ \frac{ \textrm{H} }{ \textrm{m} } $,,,
Nick,v,boltz constant,$\textrm{k}$,Boltzmann Constant,Electricity and magnetism,k,"Joule,Kelvin",$ \frac{ \textrm{J} }{ \textrm{K} } $,,,
Nick,v,elementary charge,$e$,Elementary Charge,Electricity and magnetism,"e,electron charge,proton charge",Coulomb,$ \textrm{q} $,,,
Nick,v,electron mass,$m_e$,Electron Mass,All,"me,mass of electron",kilogram,$ \textrm{kg} $,,,
Nick,v,proton mass,$m_p$,Proton Mass,All,"mp,mass of proton",kilogram,$ \textrm{kg} $,,,
Charlie,v,a,$\vec{a}$,Acceleration,Mechanics,"dv/dt,dx^2/dt^2,vdot,xdotdot,xdoubledot,v.,x..","meter,second",$ \frac{ \textrm{m} }{ \textrm{s}^2 } $,,,
Nick,v,tau,$ \vec{\tau} $,Torque,Mechanics,"t,tork",Newton,$ \textrm{N}$,,,
Nick,v,p,$ \vec{p} $,Linear Momentum,mechanics,"p,mv,momentum","kilogram,meter,second",$ \frac{ \textrm{kg} \cdot \textrm{m} }{ \textrm{s} } $,,,
Nick,v,J,$ \vec{J} $,Impulse,mechanics,"dp,deltap,delta p","kilogram,meter,second",$ \frac{ \textrm{kg} \cdot \textrm{m} }{ \textrm{s} } $,,,
Charlie,v,W,$W$,Work,mechanics,,Joule,$ \textrm{J} $,,,
Charlie,v,Pi,$\pi$,Pi,All,,,,,,
Nick,v,mu,$\mu$,Coefficient of Friction,mechanics,"mew,moo,frictional coefficient,friction,static friction,kinetic friction,moving friction",,,,,
Nick,v,K,$ K $,Kinetic Energy,mechanics,"KE,energy of motion,motion,mv^2",Joule,$ \textrm{J} $,,,
Nick,v,Wnet,$W_{net}$,Net Work,mechanics,"delta K,change in energy,dK,deltaK",Joule,$ \textrm{J} $,,,
Nick,v,T,$\textrm{T}$,Period,all,1/f,second,$ \textrm{s} $,,,
Nick,v,f,$\textrm{f}$,Frequency,all,1/t,Hertz,$\textrm{Hz}$,,,
Nick,v,F_fric,$\vec{F}_{fric}$,Frictional Force,mechanics,"muFn,mewFn",Newton,$\textrm{N}$,,,
Nick,v,a_c,$\vec{a}_c$,Centripetal Acceleration,mechanics,centrifugal acceleration,"meter,second",$ \frac{ \textrm{m} }{ \textrm{s}^2 } $,,,
Nick,v,p,$\vec{p}$,Electric Dipole Moment,Electricity and magnetism,,"coulomb,meter",$ \textrm{C} \cdot \textrm{m} $,,,
Nick,v,K,$K$,Coulomb's Constant,electricity and magnetism,"1/4pie0,1/4piepsilon0","Newton,meter,Coulomb",$ \frac{ \textrm{N} \cdot \textrm{m}^2 }{ \textrm{C}^2 } $,,,
Charlie,v,theta,$\theta$,Angle,All,"rad,degree,pi",radian,$\textrm{rad}$,,,
Charlie,v,t,$t$,Time,All,"s,seconds",second,$ \textrm{ s } $,,,
Charlie,v,v,$\vec{v}$,Velocity,All,speed,"meter,second",$ \frac{ \textrm{m} }{ \textrm{s} } $,,,
Charlie,v,F_n,$\vec{F}_n$,Normal Force,mechanics,,Newton,$\textrm{N}$,,,
Charlie,v,r,$\vec{r}$,Radius,All,diameter,meter,$\textrm{m}$,,,
Charlie,v,g,$ \vec{g} $,Gravitational Acceleration,mechanics,gravity,"meter,second",$ \frac{ \textrm{m} }{ \textrm{s}^2 } $,,,
Charlie,v,Q,$q$,Electric Charge,Electricity and magnetism,,coulomb,$ \textrm{C} $,,,
Charlie,v,F_c,$\vec{F}_c$,Centripetal Force,mechanics,centrifugal force,Newton,$ \textrm{N} $,,,
Charlie,v,E,$\vec{E}$,Electric Field,Electricity and magnetism,,"Newton,Coulomb,volt,meter",$ \frac{ \textrm{V} }{ \textrm{m} } = \frac{ \textrm{N} }{ \textrm{C} } $,,,
Charlie,v,F_E,$\vec{F}_E$,Electric Force,Electricity and magnetism,,Newton,$ \textrm{N} $,,,
Charlie,v,U_g,$U_g$,Gravitational Potential Energy,mechanics,,Joule,$ \textrm{J} $,,,
Charlie,v,F_g,$\vec{F}_g$,Gravitational Force,mechanics,gravitational force,Newton,$ \textrm{N} $,,,
Charlie,v,U,$U$,Potential Energy,All,,Joule,$ \textrm{J} $,,,
Charlie,v,T_pendulum,$T_p$,Pendulum Period,mechanics,1/f,second,$ \textrm{s} $,,,
Charlie,v,k,$\textrm{k}$,Spring Constant,mechanics,,"Newton,meter",$ \frac{ \textrm{N} }{ m } $,,,
Charlie,v,T_spring,$T_s$,Spring Period,mechanics,1/f,second,$ \textrm{s} $,,,
Charlie,v,F_spring,$\vec{F}_{spring}$,Spring Force,mechanics,,Newton,$ \textrm{N} $,,,
Charlie,v,U_spring,$U_s$,Spring Potential Energy,mechanics,,Joule,$ \textrm{J} $,,,
Charlie,v,F_coulomb,$F$,Coulomb Force,Electricity and magnetism,,Newton,$ \textrm{N}$,,,
Nick,v,L,$ \vec{L} $,Angular Momentum,mechanics,,"kilogram,meter,second",$ \textrm{kg} \cdot \frac{ \textrm{m}^2 }{ \textrm{s} } $,,,
Charlie,v,P,$\textrm{P}$,Mechanical Power,mechanics,,Watt,$\textrm{W}$,,,
Charlie,v,h,$\textrm{h}$,Planck's Constant,Quantum Physics,plank's constant,"Joule,second",$ \textrm{J} \cdot \textrm{s} $,,,
Nick,v,V,$V$,Voltage,Electricity and Magnetism,electric potential difference,Volt,$\textrm{V}$,,,
Nick,v,w,$\omega$,Angular Velocity,mechanics,"angular speed,w,rotational speed,rotation",second,$ \frac{ \textrm{rad} }{ \textrm{s} } $,,,
Nick,v,I,$I$,Rotational Inertia,mechanics,moment of inertia,"kilogram,meter",$ \textrm{kg} \cdot \textrm{m}^2 $,,,
Nick,v,r_cm,$ \vec{r}_{cm} $,Center of Mass,mechanics,x_cm,meter,$ \textrm{m} $,,,
Nick,v,a,$ \alpha $,Angular Acceleration,mechanics,"alpha,dw/dt,domega/dt",second,$ \frac{ \textrm{rad} }{ \textrm{s}^2 } $,,,
Charlie,e,v=v0+at,$v=v_0+at$,Velocity over Time with Constant Acceleration,Mechanics,"kinematics,kinematic equation","velocity,acceleration,time",,,,
Nick,e,f=ma,$ \sum{ \vec{F} } = \frac{d \vec{p} }{dt} = m \frac{d \vec{v} }{dt} = m\vec{a} $,Newton's Second Law,Mechanics,"force,f,Newton's second law","force,mass,acceleration,velocity,linear momentum",,,,
Charlie,e,x=(x_0)+(v_0)*t+0.5a*(t^2),$ x = x_0 + v_0t + \frac{1}{2}at^2 $,Position with Constant Acceleration,Mechanics,"kinematic,kinematic equation","position,velocity,time,acceleration",,,,
Charlie,e,v^2=(v_0^2)+2a*(x-x_0),$ v^2 = {v_0}^2 + 2a(x-x_0) $,Velocity at a Position with Constant Acceleration,Mechanics,"kinematic,kinematic equation","velocity,acceleration,position",,,,
Charlie,e,F_fric=muF_n,$ \vec{F}_{fric} = \mu \vec{F}_n $,Force of Friction,Mechanics,"F_fric,muFn,mewFn,muF_n,mewFn","frictional force,coefficient of friction,normal force",,,,
Charlie,e,a_c=(v^2)/r,$ \vec{a}_c = \frac{ \vec{v}^2 }{r} $,Centripetal Acceleration,Mechanics,"centrifugal acceleration,centripital acceleration","centripetal acceleration,velocity,radius",,,,
Charlie,e,Tau=rxf,$ \vec{\tau} = \vec{r} \times \vec{F} = |r||F|\sin{\theta} = I \vec{\alpha} = \frac{ d\vec{L} }{ dt } $,Torque,Mechanics,"tau,tork,rxf,r x f, rfsintheta","torque,radius,force,angle,rotational inertia,angular acceleration",Torque,,,
Charlie,e,p=mv,$ \vec{p} = m\vec{v} $,Definition of Linear Momentum,Mechanics,"p,mv","linear momentum,mass,velocity",,,,
Nick,e,J=int(F)dt,$ \vec{J} = \int{ \vec{F} \cdot dt} = \Delta \vec{p} $,Impulse,Mechanics,"j,intF","impulse,force",,,,
Charlie,e,K=0.5(mv^2),$ K = \frac{1}{2} m v^2 $,Definition of Kinetic Energy,Mechanics,"K,KE","kinetic energy,mass,velocity",kinetic energy,,,
Charlie,e,U=mgh,$ U = mgh $,Definition of Gravitational Potential Energy,Mechanics,"U,Ug,PE,P,Pg,PEg","gravitational potential energy,mass,gravitational acceleration,position",gravitational potential energy,,,
Charlie,e,W=int(f)dx,$ W = \int{\vec{F} \cdot d\vec{x}} = \vec{F} \cdot \vec{d} = |F||d|\cos{\theta} $,Definition of Work,Mechanics,,"work,force,position",work,,,
Charlie,e,F_spring=-kx,$ \vec{F}_{spring} = -k \vec{x} $,Hooke's Law,Mechanics,spring force,"spring force,spring constant,position",,,,
Charlie,e,U_spring=0.5k(x^2),$ U_{spring} = \frac{1}{2} k x^2 $,Definition of Spring Potential Energy,Mechanics,"spring work,work done by spring","spring potential energy,spring constant,position",spring potential energy,,,
Charlie,e,T_spring=2pi(sqrt(m/k)),$ T_{spring} = 2 \pi \sqrt{ \frac{m}{k} } $,Spring Period,Mechanics,,"spring period,pi,mass,spring constant",,,,
Charlie,e,T_pendulum=2pi(sqrt(l/g)),$ T_{pendulum} = 2 \pi \sqrt{ \frac{l}{g} } $,Pendulum Period,Mechanics,,"pendulum period,pi,radius,gravitational acceleration",,,,
Charlie,e,T=1/(freq),$ T = \frac{1}{f} $,Period,Mechanics,,"period,frequency",,,,
Nick,e,U = -int(F)dx,$ U = - \int{ \vec{F} \cdot d\vec{x} } $,Potential Energy,Mechanics,,"potential energy,force,position",,,,
Charlie,e,F_grav = -(Gm1m2)/(r^2),$ \vec{F}_G = -G \frac{ m_1 m_2 }{ \vec{ r } ^2 } $,Newton's Law of Gravitation,Mechanics,"Fg,Force","gravitational force,mass,radius",,,,
Charlie,e,U_g = -(Gm1m2)/(r),$ U_G = \frac{Gm_1m_2}{r} $,Gravitational Potential,Mechanics,"U,Ug","gravitational potential energy,mass,radius",,,,
Charlie,e,F_E =(kq1q2/(r^2)),$ \vec{F}_E = K \frac{ q_1 q_2 }{ \vec{ r }^2 } $,Definition of Coulomb Force,Electricity and Magnetism,"electric force,coulomb force,coulombic force,electrostatic force,Coulomb interaction,FE,kq1q2/r^2,kq^2/r^2","electric force,pi,electric constant,electric charge,radius",Coulomb Force,,,
Charlie,e,E=F/q,$ \vec{E} = \frac{ \vec{F} }{q} $,Electric Field Strength,electricity and Magnetism,efield,"electric field,force,electric charge",,,,
Nick,e,F_n = mg,$ \vec{F}_n = m \vec{ g } \cos{\theta} $,Normal Force,mechanics,"Fn,Fnormal,mg,mgcostheta","normal force,mass,gravitational acceleration,angle",,,,
Nick,e,F_c = ma_c,$ \vec{F}_c = m \vec{a}_c $,Definition of Centripetal Force,mechanics,"F_c,Fc,centrifugal force,centripital force","centripetal force,mass,centripetal acceleration",Centripetal Force,,,
Nick,e,r_cm,$ \vec{r}_{cm} = \frac{ m_1\vec{r}_1 + m_2\vec{r}_2 }{ m_1 + m_2 } $,Definition of Center of Mass,mechanics,,"mass,radius",Center of Mass,,,
Nick,e,Wnet=deltak,$ W_{net} = \Delta K = K_f - K_i $,Work-Energy Theorem,mechanics,"work,work energy","kinetic energy,net work",,,,
Nick,e,p = qd,$ p = qd $,Electric Dipole Moment,electricity and Magnetism,,electric dipole moment,,,,
Nick,e,q = ne,$ q = ne $,Electric Charge,electricity and Magnetism,amount of electricity,electric charge,,,,
Charlie,e,L=rxp,$ \vec{L} =\vec{r} \times \vec{p} = |r||F|\sin{\theta} = I\omega $,Definition of Angular Momentum,mechanics,"L,r,p,I,w",Angular momentum,Angular Momentum,,,
Charlie,e,P=W/t,$ P = \frac{ dW }{ dt } = \vec{F} \cdot \vec{v} = |F||v|\cos{\theta} $,Definition of Mechanical Power,mechanics,,Mechanical Power,Mechanical Power,,,
Nick,e,omega = theta/t,$ \vec{ \omega } = \frac{ d \vec{\theta} }{ dt },Angular Velocity,mechanics,,Angular Velocity,Angular Velocity,,,
Nick,e,a = dv/dt = d^2x/dt^2,$ \vec{a} = \frac{ d \vec{v} }{ dt } = \frac{ d^2 \vec{x} }{ dt^2 } $,acceleration,mechanics,"deltav/deltat, delta v/delta t, v/t,v over t, dx2/dt2,dx^2/dt^2,x..,x double dot,xdotdot,vdot","velocity,position,time",Acceleration,,,
,,,,,,,,,,,
,,,,,,,,,,,
